description_code,function_name,l1_category_name,payload_format,has_geo,is_system_event,event_type,log_level,platforms
01010100,Network: Enable,System Environment,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
01010200,Network: Disable,System Environment,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
01020100,Battery,System Environment,bare_value,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
01020200,Low Battery,System Environment,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
01030100,Bluetooth: Enable,System Environment,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
01030200,Bluetooth: Disable,System Environment,none,false,true,System Event,INFO,"PDA,CatalogFS"
01040100,Location-Success,System Environment,none,true,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
01040200,Location-Fail,System Environment,fail_marker,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
02010100,Sales Equipment Permission - Success,Login & Logout,bare_value,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
02010200,Sales Equipment Permission - Fail,Login & Logout,none,false,true,System Event,WARN,"PDA,CatalogFS,CatalogSE"
02020100,Sending Local Log - Successful,Login & Logout,none,false,true,System Event,INFO,"PDA"
02020200,Sending Local Log - Failed,Login & Logout,none,false,true,System Event,WARN,"PDA"
02030101,Login: Username - Success,Login & Logout,none,true,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE,Web"
02030102,Login: Username - Fail,Login & Logout,none,true,true,System Event,WARN,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE,Web"
02030201,Login: SSO - Success,Login & Logout,none,true,true,System Event,INFO,"PDA,CatalogFS"
02030202,Login: SSO - Fail,Login & Logout,none,true,true,System Event,WARN,"PDA,CatalogFS"
02040000,Logout,Login & Logout,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE,Web"
02040100,Timeout,Login & Logout,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
02040200,Voluntarily Exit,Login & Logout,none,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC,CatalogSE"
03010100,Auto Download - Success,Data Download & Sync,duration,false,true,System Event,INFO,"PDA"
03010200,Auto Download - Fail,Data Download & Sync,fail_marker,false,true,System Event,WARN,"PDA"
03020100,Settings > FD - Success,Data Download & Sync,duration,false,true,System Event,INFO,"PDA,CatalogFS,CatalogFC,CatalogSE"
03020200,Settings > FD - Fail,Data Download & Sync,fail_marker,false,true,System Event,WARN,"PDA,CatalogFS,CatalogFC,CatalogSE"
03030100,Full Download Popup - Success,Data Download & Sync,duration,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
03030200,Full Download Popup - Fail,Data Download & Sync,fail_marker,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
03040100,Sync Popup - Success,Data Download & Sync,duration,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
03040200,Sync Popup - Fail,Data Download & Sync,fail_marker,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
03040300,Sync Popup - Skip,Data Download & Sync,none,false,true,System Event,INFO,"PDA,CatalogFS,CatalogSE"
03050100,Full Download (Auto) - Success,Data Download & Sync,duration,false,true,System Event,INFO,"Vegas,CatalogFC"
03050200,Full Download (Auto) - Fail,Data Download & Sync,fail_marker,false,true,System Event,WARN,"Vegas,CatalogFC"
03060100,Background Update - Success,Data Download & Sync,duration,false,true,System Event,INFO,"Vegas,CatalogFC"
03060200,Background Update - Fail,Data Download & Sync,fail_marker,false,true,System Event,WARN,"Vegas,CatalogFC"
